Data;Luogo;Superfice;ID;Anno;Velocita;Sellino;Manubrio;Diff Percentuale
Ottobre;Cassino;Mattonellato;1;2024;10;6.31;5.86;-7.13%
Ottobre;Cassino;Mattonellato;1;2024;15;9.95;10.6;6.53%
Ottobre;Cassino;Mattonellato;1;2024;20;11.9;13.9;16.81%
Ottobre;Cassino;Mattonellato;1;2024;23;10.3;13.8;33.98%
Ottobre;Cassino;Mattonellato;3;2024;10;6.5;4.85;-25.38%
Ottobre;Cassino;Mattonellato;3;2024;15;10.9;9.82;-9.91%
Ottobre;Cassino;Mattonellato;3;2024;20;12.9;13.8;6.98%
Ottobre;Cassino;Mattonellato;3;2024;23;11.5;15.5;34.78%
Ottobre;Cassino;Mattonellato;5;2024;10;4.98;4.94;-0.80%
Ottobre;Cassino;Mattonellato;5;2024;15;7.9;9.82;24.30%
Ottobre;Cassino;Mattonellato;5;2024;20;10.6;13.3;25.47%
Ottobre;Cassino;Mattonellato;6;2024;23;11.7;15.8;35.04%
Ottobre;Cassino;Mattonellato;7;2024;10;7.1;6.26;-11.83%
Ottobre;Cassino;Mattonellato;7;2024;15;8.61;10.5;21.95%
Ottobre;Cassino;Mattonellato;7;2024;20;12.2;14.9;22.13%
Ottobre;Cassino;Mattonellato;8;2024;23;11;14.7;33.64%
Ottobre;Cassino;Mattonellato;9;2024;10;4.87;5.69;16.84%
Ottobre;Cassino;Mattonellato;9;2024;15;7.71;9.83;27.50%
Ottobre;Cassino;Mattonellato;9;2024;20;9.54;12.1;26.83%
Giugno;Cassino;sterrato;12;2025;10;8.48;10.34;-17.99%
Giugno;Cassino;sterrato;12;2025;15;14.95;19.89;-24.86%
Giugno;Cassino;sterrato;12;2025;20;19.85;24.85;-20.11%
Giugno;Cassino;sterrato;12;2025;23;21.71;26.78;-18.91%
Ottobre;Cassino;Mattonellato;13;2024;10;4.24;4.91;15.80%
Ottobre;Cassino;Mattonellato;13;2024;15;7.06;9.56;35.41%
Ottobre;Cassino;Mattonellato;13;2024;20;9.16;12.6;37.55%
Giugno;Cassino;sterrato;20;2025;10;8.86;10.86;-18.42%
Giugno;Cassino;sterrato;20;2025;15;11.6;14.44;-19.67%
Giugno;Cassino;sterrato;20;2025;20;19.43;22.73;-14.52%
Giugno;Cassino;sterrato;20;2025;23;24.13;26.96;-10.50%
Giugno;Cassino;sterrato;28;2025;10;7.75;9.73;-20.35%
Giugno;Cassino;sterrato;28;2025;15;11.12;15.58;-28.63%
Giugno;Cassino;sterrato;28;2025;20;19.32;23.73;-18.58%
Giugno;Cassino;sterrato;28;2025;23;21.75;26.03;-16.44%
