Data;Luogo;Superficie;ID;Anno;Velocita;Sellino;Manubrio;Diff Percentuale;;;;
29-gen;Lungotevere;Asfalto;C3;2024;10;1.36;1.45; 0.07 ;;;;
17-gen;Lungotevere;Asfalto;A4;2024;10;1.38;1.49; 0.08 ;;;;
17-gen;Lungotevere;Asfalto;A2;2024;10;1.41;1.49; 0.06 ;;;;
29-gen;Lungotevere;Asfalto;C4;2024;10;1.46;1.45;-0.01 ;;1.46;;
29-gen;Lungotevere;Asfalto;C6;2024;10;1.47;1.54; 0.05 ;;;;
29-gen;Lungotevere;Asfalto;C7;2024;10;1.49;1.61; 0.08 ;;;;
22-gen;Lungotevere;Asfalto;B4;2024;10;1.5;1.59; 0.06 ;;;;
17-gen;Lungotevere;Asfalto;A5;2024;10;1.51;1.61; 0.07 ;;;;
22-gen;Lungotevere;Asfalto;B2;2024;10;1.55;1.64; 0.06 ;;;;
17-gen;Lungotevere;Asfalto;A3;2024;10;1.56;1.65; 0.06 ;;;;
22-gen;Lungotevere;Asfalto;B1;2024;10;1.6;1.71; 0.07 ;;;;
29-gen;Lungotevere;Asfalto;C2;2024;10;1.61;1.59;-0.01 ;;;;
17-gen;Lungotevere;Asfalto;A7;2024;10;1.64;1.8; 0.10 ;;;;
17-gen;Lungotevere;Asfalto;A6;2024;10;1.65;1.68; 0.02 ;;;;
29-gen;Lungotevere;Asfalto;C5;2024;10;1.71;1.72; 0.01 ;;;;
29-gen;Lungotevere;Asfalto;C1;2024;10;1.79;1.77;-0.01 ;;;;
22-gen;Lungotevere;Asfalto;B3;2024;10;1.81;1.92; 0.06 ;;;;
Dicembre;Lungotevere;Asfalto;LF;2023;10;2.08;2.14; 0.03 ;;;;
Dicembre;Lungotevere;Asfalto;RDG;2023;10;2.08;2.13; 0.02 ;;;;
Dicembre;Lungotevere;Asfalto;MC;2023;10;2.12;2.23; 0.05 ;;;;
17-gen;Lungotevere;Asfalto;A7;2024;15;2.16;2.53; 0.17 ;;;;
